Year,Variety,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,Cox,0.62,0.63,0.60,0.58,,,,,0.68,0.51,0.53,0.58
2004,Cox,0.40,0.40,0.40,0.42,,,,,0.39,0.33,0.30,0.33
2004,Cox,0.55,0.54,0.50,0.51,,,,,0.64,0.45,0.46,0.50
2004,Discovery,,,,,,,0.75,0.51,0.37,,,
2004,Discovery,,,,,,,0.66,0.33,0.25,,,
2004,Discovery,,,,,,,0.74,0.48,0.32,,,
2004,Egremont Russet,0.57,0.58,0.50,,,,,0.83,0.64,0.59,0.61,0.64
2004,Egremont Russet,0.44,0.48,,,,,,0.83,0.46,0.48,0.46,0.45
2004,Egremont Russet,0.54,0.55,,,,,,0.83,0.63,0.58,0.58,0.59
2004,Other Dessert Apples,0.33,,,,,,,,0.49,0.46,0.44,0.51
2004,Other Dessert Apples,,,,,,,,,,0.34,0.30,0.28
2004,Other Dessert Apples,,,,,,,,,,0.45,0.42,0.31
2004,Worcester Pearmain,,,,,,,,,0.49,0.46,,
2004,Worcester Pearmain,,,,,,,,0.55,0.34,0.37,,
2004,Worcester Pearmain,,,,,,,,,0.48,0.40,,
2004,Other Dessert Apples,,0.46,,,,,,,,0.47,,
2004,Other Dessert Apples,,,,0.22,,,,,,,,
2004,Other Dessert Apples,,,,,,,,,,,,
2004,Gala,0.52,0.52,0.50,0.48,,,,,0.50,0.45,0.45,0.48
2004,Gala,0.42,0.40,0.37,0.44,,,,,,0.34,0.30,0.29
2004,Gala,0.51,0.46,0.44,0.47,,,,,,0.44,0.43,0.44
2004,Other Dessert Apples,,,,,,,0.50,0.30,0.55,0.51,0.44,
2004,Other Dessert Apples,,0.57,,,,,,,0.51,0.44,0.55,
2004,Other Dessert Apples,0.46,0.42,0.49,0.44,,,,,,0.44,0.51,0.49
2004,Jonogold – group,0.50,0.39,0.49,0.41,0.39,0.36,0.49,0.37,0.33,0.40,0.35,0.44
2004,Jonogold – group,,0.50,,,,,0.42,,,,,0.39
2004,Jonogold – group,,0.41,,,,,0.46,,,,,0.43
2004,Other Dessert Apples,,,,,,,,0.58,0.42,,,
2004,Other Dessert Apples,,,,,,,,0.44,0.41,,,
2004,Other Dessert Apples,,,,,,,,0.51,0.42,,,
2005,Cox,0.56,0.59,0.53,0.48,,,,0.75,0.62,0.48,0.51,0.57
2005,Cox,0.32,0.33,0.30,0.27,,,,,0.44,0.34,0.33,0.38
2005,Cox,0.49,0.53,0.40,0.30,,,,,0.57,0.45,0.47,0.52
2005,Discovery,,,,,,,0.83,0.48,0.38,,,
2005,Discovery,,,,,,,,0.32,0.25,,,
2005,Discovery,,,,,,,,0.45,0.30,,,
2005,Egremont Russet,0.58,0.52,0.48,,,,,0.66,0.63,0.52,0.67,0.68
2005,Egremont Russet,0.35,0.32,0.29,,,,,,0.54,0.45,0.46,0.45
2005,Egremont Russet,0.54,0.47,0.42,,,,,,0.62,0.50,0.65,0.65
2005,Other Dessert Apples,0.44,,,,,,,,0.28,0.44,0.43,0.50
2005,Other Dessert Apples,,,,,,,,,,0.34,0.32,
2005,Other Dessert Apples,,,,,,,,,,0.43,0.42,
2005,Worcester Pearmain,,,,,,,,0.47,0.41,0.46,,
2005,Worcester Pearmain,,,,,,,,0.50,0.39,0.30,,
2005,Worcester Pearmain,,,,,,,,0.47,0.41,0.43,,
2005,Other Dessert Apples,,,,,,,,,0.62,0.44,,
2005,Other Dessert Apples,,,,,,,,,,,,
2005,Other Dessert Apples,,,,,,,,,,,,
2005,Gala,0.41,0.43,0.44,0.40,,,,,0.40,0.45,0.44,0.45
2005,Gala,0.27,0.26,0.28,0.26,0.26,,,,0.51,0.40,0.32,0.26
2005,Gala,0.39,0.40,0.37,0.29,,,,,0.40,0.44,0.42,0.39
2005,Other Dessert Apples,,,,,,,,0.53,0.50,0.47,,
2005,Other Dessert Apples,,0.39,,,,,,,,0.44,,
2005,Other Dessert Apples,0.44,0.48,0.48,0.47,0.43,,,,,0.37,0.43,0.51
2005,Jonogold – group,0.44,0.48,0.45,0.48,0.46,0.44,0.44,,,0.45,0.41,0.39
2005,Jonogold – group,,0.29,,0.36,0.33,0.35,,,,0.32,0.33,
2005,Jonogold – group,,0.42,,0.47,0.45,0.38,,,,0.43,0.40,
2006,Cox,0.56,0.50,0.56,0.70,,,,1.04,0.67,0.52,0.55,0.58
2006,Cox,0.36,0.36,0.38,0.46,,,,,0.50,0.35,0.37,0.37
2006,Cox,0.51,0.46,0.50,0.61,,,,,0.64,0.46,0.49,0.51
2006,Discovery,,,,,,,0.73,0.54,0.44,,,
2006,Discovery,,,,,,,,0.39,0.33,,,
2006,Discovery,,,,,,,,0.51,0.39,,,
2006,Egremont Russet,0.60,0.56,0.60,0.55,0.49,,,,0.66,0.59,0.61,0.69
2006,Egremont Russet,0.39,0.39,0.43,,,,,,0.56,0.48,0.41,0.44
2006,Egremont Russet,0.52,0.51,0.56,,,,,,0.64,0.57,0.58,0.64
2006,Other Dessert Apples,,,,,,,,,0.56,0.51,0.47,
2006,Other Dessert Apples,,,,,,,,,0.44,0.39,0.33,
2006,Other Dessert Apples,,,,,,,,,0.56,0.49,0.46,
2006,Worcester Pearmain,,,,,,,,0.58,0.53,,,
2006,Worcester Pearmain,,,,,,,,,0.39,,,
2006,Worcester Pearmain,,,,,,,,,0.51,,,
2006,Other Dessert Apples,,,,,,,,,,0.42,0.48,
2006,Other Dessert Apples,,,,,,,,,,,,
2006,Other Dessert Apples,,,,,,,,,,,,
2006,Gala,0.49,0.44,0.45,0.46,,,,,0.66,0.51,0.53,0.51
2006,Gala,0.32,0.34,,,,,,,0.48,0.34,0.35,0.38
2006,Gala,0.43,0.43,,,,,,,0.65,0.49,0.50,0.49
2006,Other Dessert Apples,,,,,,,,0.48,0.45,,,
2006,Other Dessert Apples,,,,,,,,0.61,0.65,0.44,0.44,0.49
2006,Other Dessert Apples,0.46,0.44,0.44,0.49,0.42,,,,,0.49,0.58,0.55
2006,Jonogold – group,0.36,0.43,0.48,0.47,0.53,0.60,,,0.61,0.45,0.44,0.47
2006,Jonogold – group,0.28,0.38,0.37,,0.33,0.34,,,,,,
2006,Jonogold – group,0.36,0.43,0.44,,0.50,0.51,,,,,,
2007,Cox,0.60,0.70,0.73,0.79,,,,0.94,0.66,0.62,0.64,0.64
2007,Cox,0.37,0.42,0.35,0.54,,,,0.77,0.42,0.40,0.39,0.38
2007,Cox,0.54,0.65,0.67,0.70,,,,0.93,0.61,0.56,0.58,0.58
2007,Discovery,,,,,,,0.76,0.52,,,,
2007,Discovery,,,,,,,0.52,0.38,0.30,,,
2007,Discovery,,,,,,,0.73,0.48,,,,
2007,Egremont Russet,0.61,,,,,,,0.81,0.74,0.75,0.70,0.67
2007,Egremont Russet,0.39,,,,,,,,0.48,0.33,0.50,0.50
2007,Egremont Russet,0.60,,,,,,,,0.71,0.74,0.68,0.66
2007,Other Dessert Apples,,,,,,,,,0.49,0.49,0.54,0.48
2007,Other Dessert Apples,,,,,,,,,0.28,0.33,,
2007,Other Dessert Apples,,,,,,,,,0.48,0.48,,
2007,Worcester Pearmain,,,,,,,,0.61,0.56,0.48,,
2007,Worcester Pearmain,,,,,,,,,0.40,0.33,,
2007,Worcester Pearmain,,,,,,,,,0.53,0.47,,
2007,Other Dessert Apples,,,,,,,,,0.66,0.44,0.71,
2007,Other Dessert Apples,,,,,,,,,,,,0.39
2007,Other Dessert Apples,,,,,,,,,,,,
2007,Gala,0.55,0.53,0.67,,,,,,0.61,0.55,0.54,0.50
2007,Gala,0.40,0.36,0.60,,,,,,,0.40,0.35,0.33
2007,Gala,0.53,0.51,0.66,,,,,,,0.54,0.50,0.46
2007,Other Dessert Apples,,,,,,,0.66,0.60,0.46,0.49,,
2007,Other Dessert Apples,0.51,,,,,,,,0.49,0.54,0.51,0.53
2007,Other Dessert Apples,0.53,0.54,0.51,0.47,0.48,,,,,0.59,0.65,0.48
2007,Jonogold – group,,,,,,,,,,0.52,0.50,0.54
2007,Jonogold – group,,,,,,,,,,0.34,0.34,
2007,Jonogold – group,,,,,,,,,,0.52,0.47,
2008,Cox,0.70,0.67,0.72,0.87,,,,1.09,0.83,0.65,0.63,0.69
2008,Cox,0.45,0.43,0.52,0.50,,,,,0.59,0.42,0.37,0.43
2008,Cox,0.65,0.60,0.67,0.74,,,,,0.81,0.60,0.57,0.63
2008,Discovery,,,,,,,1.03,0.68,0.46,,,
2008,Discovery,,,,,,,,0.43,0.36,,,
2008,Discovery,,,,,,,,0.64,0.44,,,
2008,Egremont Russet,0.77,0.90,0.80,0.88,,,,,0.96,0.72,0.78,0.82
2008,Egremont Russet,0.51,,0.44,0.43,,,,,,0.50,0.53,0.53
2008,Egremont Russet,0.75,,0.77,0.48,,,,,,0.70,0.74,0.75
2008,Other Dessert Apples,0.39,,,,,,,,,0.61,0.62,0.66
2008,Other Dessert Apples,,,,,,,,,,0.34,0.37,0.36
2008,Other Dessert Apples,,,,,,,,,,0.59,0.54,0.60
2008,Worcester Pearmain,,,,,,,,,0.69,0.63,,
2008,Worcester Pearmain,,,,,,,,,0.50,0.43,,
2008,Worcester Pearmain,,,,,,,,,0.67,0.52,,
2008,Other Dessert Apples,,,,,,,,,0.61,0.48,0.49,
2008,Other Dessert Apples,,,,,,,,,,0.34,,
2008,Other Dessert Apples,,,,,,,,,,0.47,,
2008,Gala,0.54,0.57,0.62,0.54,,,,,0.64,0.59,0.54,0.64
2008,Gala,0.40,0.55,0.43,0.44,,,,,,,0.42,0.43
2008,Gala,0.51,0.57,0.55,0.49,,,,,,,0.53,0.59
2008,Other Dessert Apples,,,,,,,,0.60,0.55,0.50,,
2008,Other Dessert Apples,0.58,0.62,0.61,,,,,,0.67,0.50,0.42,0.57
2008,Other Dessert Apples,0.54,0.55,0.56,0.53,0.55,0.44,,,,0.60,0.58,0.60
2008,Jonogold – group,0.42,0.48,0.59,0.51,,,,,,0.62,0.56,0.52
2008,Jonogold – group,0.39,,,,,,,,,0.33,0.33,0.35
2008,Jonogold – group,0.41,,,,,,,,,0.60,0.47,0.41
2009,Cox,0.73,0.83,0.82,0.85,0.64,,,0.91,0.74,0.60,0.59,0.61
2009,Cox,0.48,0.53,0.56,0.51,,,,,0.56,0.41,0.36,0.39
2009,Cox,0.68,0.77,0.77,0.81,,,,,0.72,0.55,0.53,0.56
2009,Discovery,,,,,,,0.86,0.61,0.53,,,
2009,Discovery,,,,,,,,0.38,0.42,,,
2009,Discovery,,,,,,,,0.56,0.51,,,
2009,Egremont Russet,0.77,0.75,0.86,0.78,,,,1.01,0.78,0.64,0.70,0.73
2009,Egremont Russet,0.53,0.57,0.61,0.63,,,,,0.54,0.45,0.51,0.50
2009,Egremont Russet,0.73,0.73,0.83,0.74,,,,,0.76,0.61,0.68,0.71
2009,Other Dessert Apples,,,,,,,,,0.66,0.56,0.53,
2009,Other Dessert Apples,,,,,,,,,,0.46,0.48,
2009,Other Dessert Apples,,,,,,,,,,0.55,0.53,
2009,Worcester Pearmain,,,,,,,,0.57,0.50,,,
2009,Worcester Pearmain,,,,,,,,,0.40,0.37,,
2009,Worcester Pearmain,,,,,,,,,0.50,0.37,,
2009,Other Dessert Apples,,,,,,,,,0.53,,,
2009,Other Dessert Apples,,,,,,,,,,,,
2009,Other Dessert Apples,,,,,,,,,,,,
2009,Gala,0.69,0.88,0.76,0.91,0.50,,,,0.62,0.61,0.58,0.52
2009,Gala,0.45,0.55,,,,,,,,0.48,0.46,0.38
2009,Gala,0.63,0.84,,,,,,,,0.59,0.57,0.50
2009,Other Dessert Apples,,,,,,,,0.59,0.53,0.48,0.44,
2009,Other Dessert Apples,,,,,,,,,0.51,0.50,0.51,0.54
2009,Other Dessert Apples,0.64,0.67,0.61,0.59,0.56,,,,,0.51,0.50,0.55
2009,Jonogold – group,,0.60,0.66,0.62,0.58,,,,,0.59,0.48,0.42
2009,Jonogold – group,,,,,,,,,,0.46,0.46,
2009,Jonogold – group,,,,,,,,,,0.57,0.47,0.42
2010,Cox,0.70,0.79,0.88,0.80,,,,,0.87,0.63,0.67,0.72
2010,Cox,0.41,0.48,0.51,0.48,,,,,0.55,0.45,0.45,0.46
2010,Cox,0.63,0.71,0.84,0.75,,,,,0.87,0.62,0.64,0.69
2010,Discovery,,,,,,,,0.72,0.53,,,
2010,Discovery,,,,,,,,0.49,0.33,,,
2010,Discovery,,,,,,,,0.70,0.50,,,
2010,Egremont Russet,0.67,0.71,0.79,0.72,0.62,,,,0.85,0.74,0.74,0.74
2010,Egremont Russet,0.49,0.45,0.47,0.42,,,,,,0.66,0.56,0.52
2010,Egremont Russet,0.66,0.68,0.77,0.72,0.62,,,,0.85,0.74,0.74,0.73
2010,Other Dessert Apples,,,,,,,,,,0.62,0.63,0.58
2010,Other Dessert Apples,,,,,,,,,,,0.55,
2010,Other Dessert Apples,,,,,,,,,,0.62,0.63,0.58
2010,Worcester Pearmain,,,,,,,,,0.56,0.47,0.43,
2010,Worcester Pearmain,,,,,,,,,0.22,,,
2010,Worcester Pearmain,,,,,,,,,0.52,0.47,0.43,
2010,Other Dessert Apples,,,,,,,,,0.62,0.49,,
2010,Other Dessert Apples,,,,,,,,,,,,
2010,Other Dessert Apples,,,,,,,,,0.62,0.49,,
2010,Gala,0.55,0.67,0.71,0.62,0.57,0.56,,,0.77,0.62,0.60,0.64
2010,Gala,0.37,0.47,0.43,0.39,0.37,0.37,,,,0.44,,0.50
2010,Gala,0.52,0.65,0.65,0.53,0.50,0.45,,,0.77,0.62,0.60,0.64
2010,Other Dessert Apples,,,,,,,,0.61,0.63,0.61,,
2010,Other Dessert Apples,0.51,0.57,0.61,,,,,,,0.56,0.58,0.65
2010,Other Dessert Apples,0.54,0.59,0.65,0.58,0.54,0.52,,,,0.77,0.66,0.65
2010,Jonogold – group,0.43,0.56,0.61,0.55,0.58,0.42,,,,0.56,0.50,0.49
2010,Jonogold – group,0.34,,,,,,,,,,,
2010,Jonogold – group,0.42,0.56,0.61,0.55,0.58,0.42,,,,0.56,0.50,0.49
2011,Cox,0.76,0.93,1.00,1.03,,,,1.09,0.76,0.67,0.66,0.72
2011,Cox,0.46,0.56,0.55,0.78,,,,,0.51,0.47,0.43,0.43
2011,Cox,0.71,0.89,0.93,1.01,,,,1.09,0.72,0.65,0.62,0.67
2011,Discovery,,,,,,,0.89,0.61,,,,
2011,Discovery,,,,,,,0.54,0.47,0.44,,,
2011,Discovery,,,,,,,0.87,0.60,0.44,,,
2011,Egremont Russet,0.69,0.80,0.81,1.01,,,,,0.76,0.74,0.74,0.69
2011,Egremont Russet,0.47,0.45,0.44,,,,,,0.53,0.51,0.43,0.46
2011,Egremont Russet,0.68,0.78,0.80,1.01,,,,,0.75,0.73,0.72,0.68
2011,Other Dessert Apples,0.66,,,,,,,,0.77,0.92,0.53,0.58
2011,Other Dessert Apples,,,,,,,,,,0.55,0.55,0.44
2011,Other Dessert Apples,0.66,,,,,,,,0.77,0.90,0.53,0.54
2011,Worcester Pearmain,,,,,,,,0.69,0.60,,,
2011,Worcester Pearmain,,,,,,,,,,,,
2011,Worcester Pearmain,,,,,,,,0.69,0.60,,,
2011,Other Dessert Apples,,,,,,,,,,,,
2011,Other Dessert Apples,,,,,,,,,,,,
2011,Other Dessert Apples,,,,,,,,,,,,
2011,Gala,0.67,0.85,0.80,0.79,0.72,,,,0.68,0.64,0.62,0.71
2011,Gala,0.50,,0.45,0.74,,,,,0.50,0.40,0.39,0.45
2011,Gala,0.67,0.85,0.78,0.78,0.72,,,,0.68,0.62,0.60,0.64
2011,Other Dessert Apples,,,,,,,,0.61,0.54,0.50,0.49,
2011,Other Dessert Apples,0.61,0.61,0.61,0.76,,,,,,0.63,0.59,0.60
2011,Other Dessert Apples,0.62,0.70,0.69,0.63,0.55,,,,,0.69,0.68,0.67
2011,Jonogold – group,0.68,0.56,0.53,,,,,,,0.59,0.60,0.52
2011,Jonogold – group,,,,,,,,,,0.49,,
2011,Jonogold – group,0.68,0.56,0.53,,,,,,,0.59,0.60,0.52
2012,Cox,0.75,0.79,0.83,0.91,0.86,,,,0.98,0.90,0.81,0.90
2012,Cox,0.44,0.47,0.47,0.49,,,,,0.65,0.50,0.41,0.54
2012,Cox,0.71,0.75,0.80,0.84,0.86,,,,0.98,0.88,0.77,0.87
2012,Discovery,,,,,,,,0.91,0.67,,,
2012,Discovery,,,,,,,,0.67,0.55,,,
2012,Discovery,,,,,,,,0.90,0.66,,,
2012,Egremont Russet,0.75,0.88,0.97,,,,,,0.95,0.87,0.85,0.89
2012,Egremont Russet,0.49,,,,,,,,,0.61,0.44,0.66
2012,Egremont Russet,0.71,0.88,0.97,,,,,,0.95,0.87,0.84,0.88
2012,Other Dessert Apples,,,,,,,,,,1.06,0.86,
2012,Other Dessert Apples,0.40,,,,,,,,,0.51,,
2012,Other Dessert Apples,0.40,,,,,,,,,0.79,0.86,
2012,Worcester Pearmain,,,,,,,,0.66,0.78,0.65,,
2012,Worcester Pearmain,,,,,,,,,0.66,,,
2012,Worcester Pearmain,,,,,,,,0.66,0.78,0.65,,
2012,Other Dessert Apples,,,,,,,,,,0.61,0.69,
2012,Other Dessert Apples,,,,,,,,,,0.83,,
2012,Other Dessert Apples,,,,,,,,,,0.70,0.69,
2012,Gala,0.69,0.68,0.73,0.81,0.74,,,,0.79,0.83,0.76,0.81
2012,Gala,0.40,0.53,0.60,0.66,,,,,,0.64,0.42,0.49
2012,Gala,0.68,0.68,0.73,0.81,0.74,,,,0.79,0.81,0.72,0.79
2012,Other Dessert Apples,,,,0.93,,,,,0.73,0.81,0.82,
2012,Other Dessert Apples,0.59,0.53,0.77,0.72,,,,,,0.60,0.63,0.71
2012,Other Dessert Apples,0.65,0.67,0.63,0.82,0.89,,,,,0.77,0.78,0.73
2012,Jonogold – group,,0.53,,,,,,,,0.78,0.73,0.66
2012,Jonogold – group,,0.49,,,,,,,,0.63,,
2012,Jonogold – group,,0.50,,,,,,,,0.77,0.73,0.66
2013,Cox,0.90,0.96,1.05,0.96,,,,,1.04,0.76,0.70,0.69
2013,Cox,0.54,0.57,0.62,0.62,,,,,,0.49,0.47,0.44
2013,Cox,0.86,0.92,1.01,0.89,,,,,1.04,0.72,0.66,0.64
2013,Discovery,,,,,,,,1.00,0.73,0.46,,
2013,Discovery,,,,,,,,,0.47,0.36,,
2013,Discovery,,,,,,,,1.00,0.69,0.44,,
2013,Egremont Russet,0.82,0.88,0.96,,,,,,1.00,0.76,0.70,0.71
2013,Egremont Russet,0.57,0.56,0.64,,,,,,,0.57,0.48,0.52
2013,Egremont Russet,0.79,0.86,0.93,,,,,,1.00,0.75,0.67,0.69
2013,Other Dessert Apples,0.61,,,,,,,,,0.79,0.76,0.58
2013,Other Dessert Apples,,,,,,,,,,0.46,0.46,0.47
2013,Other Dessert Apples,0.61,,,,,,,,,0.78,0.75,0.57
2013,Worcester Pearmain,,,,,,,,,0.76,0.60,0.47,
2013,Worcester Pearmain,,,,,,,,,0.39,0.46,,
2013,Worcester Pearmain,,,,,,,,,0.74,0.58,0.47,
2013,Other Dessert Apples,,,,,,,,,,,0.66,
2013,Other Dessert Apples,,,,,,,,,,,,
2013,Other Dessert Apples,,,,,,,,,,,0.66,
2013,Gala,0.81,0.91,0.69,0.82,0.77,,,,1.09,0.68,0.67,0.65
2013,Gala,0.46,0.72,,,,,,,,0.44,0.44,0.42
2013,Gala,0.80,0.91,0.69,0.82,0.77,,,,1.09,0.66,0.63,0.61
2013,Other Dessert Apples,,,,,,,,0.54,0.61,0.60,0.48,
2013,Other Dessert Apples,0.69,0.73,0.61,,,,,,0.61,0.62,0.71,0.71
2013,Other Dessert Apples,0.75,0.80,0.83,0.77,,,,,,0.48,0.69,0.71
2013,Jonogold – group,,,,,,,,,,0.68,0.61,0.50
2013,Jonogold – group,,,,,,,,,,,,
2013,Jonogold – group,,,,,,,,,,0.68,0.61,0.50
2014,Cox,0.76,0.73,0.89,0.85,0.94,,,1.03,0.75,0.66,0.66,0.68
2014,Cox,0.46,0.48,0.54,0.51,0.55,,,,0.44,0.41,0.41,0.45
2014,Cox,0.70,0.68,0.85,0.80,0.91,,,1.03,0.74,0.64,0.62,0.65
2014,Discovery,,,,,,,,0.62,0.50,0.54,,
2014,Discovery,,,,,,,,0.46,0.40,,,
2014,Discovery,,,,,,,,0.61,0.49,0.54,,
2014,Egremont Russet,0.71,0.72,0.81,0.83,0.78,,,0.88,0.78,0.65,0.71,0.71
2014,Egremont Russet,0.46,0.51,0.52,0.61,0.59,,,1.07,0.50,0.44,0.45,0.45
2014,Egremont Russet,0.68,0.70,0.77,0.81,0.77,,,0.93,0.76,0.62,0.69,0.69
2014,Other Dessert Apples,0.65,0.65,,,,,,,0.84,0.63,0.59,0.59
2014,Other Dessert Apples,0.30,0.51,,,,,,,,0.33,0.61,0.42
2014,Other Dessert Apples,0.62,0.64,,,,,,,0.84,0.62,0.60,0.59
2014,Worcester Pearmain,,,,,,,,0.84,0.66,0.50,0.49,
2014,Worcester Pearmain,,,,,,,,,,,,
2014,Worcester Pearmain,,,,,,,,0.84,0.66,0.50,0.49,
2014,Other Dessert Apples,0.53,,,,,,,,,,,
2014,Other Dessert Apples,,,,,,,,,,,,
2014,Other Dessert Apples,0.53,,,,,,,,,,,
2014,Braeburn,,,0.71,0.63,0.81,,,,,0.63,0.65,0.62
2014,Braeburn,,,0.55,0.52,0.55,,,,,0.44,0.47,0.51
2014,Braeburn,,,0.70,0.63,0.72,,,,,0.63,0.65,0.62
2014,Gala,0.69,0.72,0.80,0.79,0.74,,,,0.69,0.63,0.67,0.64
2014,Gala,0.15,0.45,0.56,0.50,0.50,,,,,0.44,0.49,0.49
2014,Gala,0.69,0.70,0.79,0.75,0.72,,,,0.69,0.63,0.66,0.63
2014,Other Dessert Apples,,,,,,,,0.71,0.59,0.47,0.55,
2014,Other Dessert Apples,0.70,0.77,,,,,,,,0.56,0.52,0.49
2014,Other Dessert Apples,0.74,0.67,0.67,0.71,0.63,,,,,0.54,0.63,0.60
2014,Jonogold – group,,0.51,,,,,,,,0.56,0.58,0.58
2014,Jonogold – group,,,,,,,,,,,0.46,
2014,Jonogold – group,,0.51,,,,,,,,0.56,0.57,0.58
2015,Cox,0.71,0.79,0.93,,,,,,,,,
2015,Cox,0.47,0.56,0.65,,,,,,,,,
2015,Cox,0.69,0.78,0.89,1.00,,,,,,,,
2015,Discovery,,,,,,,,,,,,
2015,Discovery,,,,,,,,,,,,
2015,Discovery,,,,,,,,,,,,
2015,Egremont Russet,0.73,0.78,0.75,,,,,,,,,
2015,Egremont Russet,0.53,0.58,0.57,,,,,,,,,
2015,Egremont Russet,0.73,0.77,0.74,,,,,,,,,
2015,Other Dessert Apples,0.54,,,,,,,,,,,
2015,Other Dessert Apples,,,,,,,,,,,,
2015,Other Dessert Apples,0.54,,,,,,,,,,,
2015,Worcester Pearmain,,,,,,,,,,,,
2015,Worcester Pearmain,,,,,,,,,,,,
2015,Worcester Pearmain,,,,,,,,,,,,
2015,Braeburn,0.64,0.63,0.61,0.61,0.63,,,,,,,
2015,Braeburn,0.45,0.45,0.44,0.47,0.46,,,,,,,
2015,Braeburn,0.62,0.61,0.59,0.59,0.62,,,,,,,
2015,Gala,0.74,0.70,0.67,0.70,0.66,,,,,,,
2015,Gala,0.48,0.52,0.48,0.50,,,,,,,,
2015,Gala,0.72,0.69,0.64,0.68,0.66,,,,,,,
2015,Other Dessert Apples,,,,,,,,,,,,
2015,Other Dessert Apples,,,,,,,,,,,,
2015,Other Dessert Apples,0.66,0.59,0.57,0.63,0.64,,,,,,,
2015,Jonogold – group,0.58,,,0.71,0.68,,,,,,,
2015,Jonogold – group,0.44,,,,,,,,,,,
2015,Jonogold – group,0.58,,,0.71,0.68,,,,,,,
